listing_id,institution_name,state,county,specialty,opportunity_type,completeness_status,completeness_score,max_possible_score,score_official_source,score_eligibility_clarity,score_usce_type_clarity,score_student_grad_clarity,score_img_clarity,score_vslo_affiliation_clarity,score_hands_on_clarity,score_lor_eval_clarity,score_application_method,score_fee_clarity,score_deadline_clarity,score_duration_clarity,score_contact_clarity,score_source_quote_coverage,score_freshness,hard_gates_hit,unknown_fields,fit_warnings,img_eligibility,application_url,official_source_url,source_status,identity_status_from_p98_6,listing_id_ref
ME-011,Maine Medical Center / Diagnostic Radiology,ME,Cumberland,diagnostic_radiology,Elective,PUBLIC_WITH_UNKNOWN_FIELDS,33,75,5,2,5,5,0,0,3,0,0,0,0,0,5,3,5,,img_eligibility|application_method|application_url|fee|deadline|duration|lor_possible,,UNKNOWN,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/diagnostic-radiology-residency/medical-student-opportunities-diagnostic-radiology-residency,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-011
ME-013,Northern Light Eastern Maine Medical Center,ME,Penobscot,multispecialty,Observership,PUBLIC_WITH_UNKNOWN_FIELDS,43,75,5,3,5,5,0,0,5,0,4,0,0,3,5,3,5,,img_eligibility|fee|deadline|lor_possible,OBSERVERSHIP_ONLY,UNKNOWN,,https://northernlighthealth.org/Our-System/Eastern-Maine-Medical-Center/For-Medical-Professionals/Clinical-Education/Clinical-Observational-Experience,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-013
ME-014,EMMC Family Medicine Residency,ME,Penobscot,family_medicine,Elective,PUBLIC_WITH_UNKNOWN_FIELDS,38,75,4,2,5,5,0,0,5,0,4,0,0,0,5,3,5,,img_eligibility|fee|deadline|duration|lor_possible,,UNKNOWN,,https://northernlighthealth.org/Our-System/Eastern-Maine-Medical-Center/For-Medical-Professionals/Residency-and-Fellowship-Programs/Family-Medicine-Residency-Program/Bangor-Maine,OFFICIAL_DEPARTMENT_PAGE,MEDICAL_SCHOOL_NO_HOSPITAL,ME-014
ME-015,Central Maine Medical Center / Family Medicine,ME,Androscoggin,family_medicine,Sub-internship,READY_PUBLIC,50,75,5,2,5,5,5,0,5,0,5,0,0,5,5,3,5,,fee|deadline|lor_possible,,YES,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,OFFICIAL_PROGRAM_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-015
ME-016,Central Maine Medical Center / Emergency Medicine,ME,Androscoggin,emergency_medicine,Elective,READY_PUBLIC,46,75,4,2,5,5,5,0,5,0,5,0,0,2,5,3,5,,fee|deadline|lor_possible,,YES,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,OFFICIAL_DEPARTMENT_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-016
ME-017,Central Maine Medical Center / OB-GYN,ME,Androscoggin,obstetrics_gynecology,Elective,READY_PUBLIC,46,75,4,2,5,5,5,0,5,0,5,0,0,2,5,3,5,,fee|deadline|lor_possible,,YES,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,OFFICIAL_DEPARTMENT_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-017
ME-018,Central Maine Medical Center / Pediatrics,ME,Androscoggin,pediatrics,Elective,READY_PUBLIC,46,75,4,2,5,5,5,0,5,0,5,0,0,2,5,3,5,,fee|deadline|lor_possible,,YES,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,OFFICIAL_DEPARTMENT_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-018
ME-019,Central Maine Medical Center / Surgery,ME,Androscoggin,surgery,Elective,READY_PUBLIC,46,75,4,2,5,5,5,0,5,0,5,0,0,2,5,3,5,,fee|deadline|lor_possible,,YES,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,OFFICIAL_DEPARTMENT_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-019
ME-020,Central Maine Medical Center / Internal Medicine,ME,Androscoggin,internal_medicine,Elective,READY_PUBLIC,46,75,4,2,5,5,5,0,5,0,5,0,0,2,5,3,5,,fee|deadline|lor_possible,,YES,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,OFFICIAL_DEPARTMENT_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-020
ME-021,Central Maine Medical Center / Rural Family Medicine,ME,Androscoggin,family_medicine_rural,Elective,READY_PUBLIC,46,75,4,2,5,5,5,0,5,0,5,0,0,2,5,3,5,,fee|deadline|lor_possible,,YES,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,OFFICIAL_DEPARTMENT_PAGE,NPPES_ONLY_CAMPUS_MATCH,ME-021
