candidateId,state,county,institutionName,healthSystem,opportunityTitle,opportunityType,specialty,officialSourceUrl,applicationUrl,sourcePageType,targetFit,targetFitReason,eligibility,imgEligibility,studentGraduateEligibility,visaLanguage,cost,duration,deadline,contactEmail,coordinatorNameIfPublic,evidenceSnippet,evidenceUrl,searchTermsThatFoundIt,duplicateCheckResult,existingListingMatch,confidence,candidateStatus,reviewerNotes,foundAt
ME-011,ME,Cumberland,Maine Medical Center / Diagnostic Radiology,MaineHealth,DR Medical Student Opportunities,Elective,diagnostic_radiology,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/diagnostic-radiology-residency/medical-student-opportunities-diagnostic-radiology-residency,,EXACT_OFFICIAL_PROGRAM_PAGE,MAYBE_TARGET_MANUAL_REVIEW,MMC DR medical-student-opportunities sub-page exists.,MS,Check sub-page,medical_student,,,,,,radrespm@mainehealth.org / Shawn Harmon 207-662-4279,,https://www.mainehealth.org/maine-medical-center/education-research/medical-education/residency-programs/diagnostic-radiology-residency/medical-student-opportunities-diagnostic-radiology-residency,indirect navigation,none,,MEDIUM,NEEDS_MANUAL_REVIEW,Sub-page found via parent navigation; needs verification.,2026-05-02T05:12:14.204Z
ME-012,ME,Cumberland,Maine Medical Center / Longitudinal Integrated Clerkship,MaineHealth + Tufts,Longitudinal Integrated Clerkship (LIC),Clerkship,multispecialty,https://www.mainehealth.org/maine-medical-center/education-research/undergraduate-medical-education/longitudinal-integrated-clerkship-mainehealth-maine-medical-center,,EXACT_OFFICIAL_PROGRAM_PAGE,NON_TARGET_NON_CLINICAL,3rd-yr clerkship for matriculated Tufts Maine Track students only — not a visiting program.,Tufts Maine Track only,No (closed program),tufts_maine_track_only,None,None,9 months,,,,,https://www.mainehealth.org/maine-medical-center/education-research/undergraduate-medical-education/longitudinal-integrated-clerkship-mainehealth-maine-medical-center,direct fetch,none,,HIGH,REJECTED_NON_TARGET,Not visiting; Tufts-internal.,2026-05-02T05:12:14.204Z
ME-013,ME,Penobscot,Northern Light Eastern Maine Medical Center,Northern Light Health,EMMC Clinical Observational Experience,Observership,multispecialty,https://northernlighthealth.org/Our-System/Eastern-Maine-Medical-Center/For-Medical-Professionals/Clinical-Education/Clinical-Observational-Experience,,EXACT_OFFICIAL_PROGRAM_PAGE,TARGET_USCE_MATCH,EMMC Clinical Observational Experience explicitly accepts medical students (MD/DO) + APP students + licensed practitioners + students of accredited colleges; multiple application portals.,MD/DO students; APP students; high school; licensed practitioners; vocational graduates,Not explicit; broad eligibility language,medical_student_or_graduate_or_practitioner,Not stated,Not stated,Job shadow or extended,,ntrombley@northernlight.org,,Multi-route Smartsheet + dedicated MD/DO portal,https://northernlighthealth.org/Our-System/Eastern-Maine-Medical-Center/For-Medical-Professionals/Clinical-Education/Clinical-Observational-Experience,direct fetch,none,,HIGH,APPROVED_FOR_HUMAN_REVIEW,Broad observership; verify IMG before public listing. Major Maine candidate.,2026-05-02T05:12:14.204Z
ME-014,ME,Penobscot,EMMC Family Medicine Residency,Northern Light Health,EMMC FM Bangor Med Student Rotations,Elective,family_medicine,https://northernlighthealth.org/Our-System/Eastern-Maine-Medical-Center/For-Medical-Professionals/Residency-and-Fellowship-Programs/Family-Medicine-Residency-Program/Bangor-Maine,,OFFICIAL_DEPARTMENT_PAGE_WITH_USCE_TEXT,MAYBE_TARGET_MANUAL_REVIEW,EMMC FM Bangor program — has medical-student-rotation page indexed by AMA FREIDA.,MS,Not explicit,medical_student,,,,,mpelkey@northernlight.org,Marie Pelkey,Direct contact,https://northernlighthealth.org/Our-System/Eastern-Maine-Medical-Center/For-Medical-Professionals/Residency-and-Fellowship-Programs/Family-Medicine-Residency-Program/Bangor-Maine,indirect,none,,MEDIUM,NEEDS_MANUAL_REVIEW,Direct contact required for full eligibility.,2026-05-02T05:12:14.204Z
ME-015,ME,Androscoggin,Central Maine Medical Center / Family Medicine,Central Maine Healthcare,CMHC FM Sub-Internship,Sub-internship,family_medicine,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,EXACT_OFFICIAL_PROGRAM_PAGE,TARGET_USCE_MATCH,4-wk FM sub-I; inpatient + outpatient with call. International students accepted.,3rd/4th-yr MS,US/Canadian/International medical schools accepted,medical_student,Not on official page,Not stated,4 wks,,ktruitt@primehealthcare.com,Katherine Truitt,Smartsheet + CV/transcript/USMLE,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,direct fetch,none,,HIGH,APPROVED_FOR_HUMAN_REVIEW,Strong IMG-eligible community-hospital sub-I.,2026-05-02T05:12:14.204Z
ME-016,ME,Androscoggin,Central Maine Medical Center / Emergency Medicine,Central Maine Healthcare,CMHC EM Elective,Elective,emergency_medicine,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,OFFICIAL_DEPARTMENT_PAGE_WITH_USCE_TEXT,TARGET_USCE_MATCH,Case-by-case EM elective; international MS accepted.,3rd/4th-yr MS,International MS accepted,medical_student,Not stated,Not stated,Variable,,ktruitt@primehealthcare.com,Katherine Truitt,Smartsheet,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,direct fetch,none,,MEDIUM,APPROVED_FOR_HUMAN_REVIEW,Same Smartsheet entry as FM; specialty selected at apply.,2026-05-02T05:12:14.204Z
ME-017,ME,Androscoggin,Central Maine Medical Center / OB-GYN,Central Maine Healthcare,CMHC OB/GYN Elective,Elective,obstetrics_gynecology,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,OFFICIAL_DEPARTMENT_PAGE_WITH_USCE_TEXT,TARGET_USCE_MATCH,Case-by-case OB/GYN elective; international MS accepted.,3rd/4th-yr MS,International MS accepted,medical_student,Not stated,Not stated,Variable,,ktruitt@primehealthcare.com,Katherine Truitt,Smartsheet,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,direct fetch,none,,MEDIUM,APPROVED_FOR_HUMAN_REVIEW,,2026-05-02T05:12:14.204Z
ME-018,ME,Androscoggin,Central Maine Medical Center / Pediatrics,Central Maine Healthcare,CMHC Pediatrics Elective,Elective,pediatrics,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,OFFICIAL_DEPARTMENT_PAGE_WITH_USCE_TEXT,TARGET_USCE_MATCH,Case-by-case Peds elective; international MS accepted.,3rd/4th-yr MS,International MS accepted,medical_student,Not stated,Not stated,Variable,,ktruitt@primehealthcare.com,Katherine Truitt,Smartsheet,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,direct fetch,none,,MEDIUM,APPROVED_FOR_HUMAN_REVIEW,,2026-05-02T05:12:14.204Z
ME-019,ME,Androscoggin,Central Maine Medical Center / Surgery,Central Maine Healthcare,CMHC Surgery Elective,Elective,surgery,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,OFFICIAL_DEPARTMENT_PAGE_WITH_USCE_TEXT,TARGET_USCE_MATCH,Case-by-case Surgery elective; international MS accepted.,3rd/4th-yr MS,International MS accepted,medical_student,Not stated,Not stated,Variable,,ktruitt@primehealthcare.com,Katherine Truitt,Smartsheet,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,direct fetch,none,,MEDIUM,APPROVED_FOR_HUMAN_REVIEW,,2026-05-02T05:12:14.204Z
ME-020,ME,Androscoggin,Central Maine Medical Center / Internal Medicine,Central Maine Healthcare,CMHC Internal Medicine Elective,Elective,internal_medicine,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,OFFICIAL_DEPARTMENT_PAGE_WITH_USCE_TEXT,TARGET_USCE_MATCH,Case-by-case IM elective; international MS accepted.,3rd/4th-yr MS,International MS accepted,medical_student,Not stated,Not stated,Variable,,ktruitt@primehealthcare.com,Katherine Truitt,Smartsheet,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,direct fetch,none,,MEDIUM,APPROVED_FOR_HUMAN_REVIEW,,2026-05-02T05:12:14.204Z
ME-021,ME,Androscoggin,Central Maine Medical Center / Rural Family Medicine,Central Maine Healthcare,CMHC Rural FM Elective,Elective,family_medicine_rural,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,https://app.smartsheet.com/b/form/8507f8981e874c2bab7a64404159f051,OFFICIAL_DEPARTMENT_PAGE_WITH_USCE_TEXT,TARGET_USCE_MATCH,Case-by-case Rural FM elective; international MS accepted.,3rd/4th-yr MS,International MS accepted,medical_student,Not stated,Not stated,Variable,,ktruitt@primehealthcare.com,Katherine Truitt,Smartsheet,https://www.cmhc.org/health-professionals/medical-students/elective-clerkships/,direct fetch,none,,MEDIUM,APPROVED_FOR_HUMAN_REVIEW,Rural FM track noted explicitly.,2026-05-02T05:12:14.204Z
