state,screened_rows,source_proof_score_5_rows,ready_or_staged_rows,active_runtime_rows,partial_or_requeue_rows,major_systems_seen,major_gaps_known,confidence,notes
WI,3,UNKNOWN_MEDIUM,UNKNOWN,0,UNKNOWN,Mayo Eau Claire (KEEP_INTERNAL) / U-Wisconsin / Aurora,Marshfield / Froedtert gap,MEDIUM,Mayo Eau Claire was Batch 3 KEEP_INTERNAL
SC,3,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,MUSC / Greenville / Prisma,Beaufort + Hilton Head gap,MEDIUM,
RI,2,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,Brown / Lifespan,,MEDIUM,
OK,2,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,OUHSC / SSM / INTEGRIS,Tulsa coverage,MEDIUM,
NV,2,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,UNLV School of Medicine + UMC / Sunrise,Reno gap,MEDIUM,
MS,2,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,UMMC,Coast + Delta gap,MEDIUM,
KY,2,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,UK HealthCare / Norton / U-Louisville,Western Kentucky gap,MEDIUM,
KS,2,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,KU Med / Stormont / Wesley,Wichita gap,MEDIUM,
IN,2,UNKNOWN_LOW,1,0,UNKNOWN,Indiana University Health Methodist,Eskenazi Health gap,HIGH,IU Methodist in 25-row ready set
IA,2,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,U-Iowa / UnityPoint / Mercy,Quad Cities gap,MEDIUM,
HI,2,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,Queens / John A Burns,Big Island + Maui coverage,MEDIUM,Both rows but limited
DE,2,UNKNOWN_LOW,1,0,UNKNOWN,ChristianaCare / Bayhealth,,HIGH,Christiana in 25-row ready set
AL,2,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,UAB / Children's of Alabama,,MEDIUM,
VT,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,University of Vermont Medical Center,Single-system state,MEDIUM,Queue-4 thin-state target
UT,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,Intermountain (or U-Utah),,MEDIUM,Queue-4 thin-state target
SD,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,Sanford / Avera,,MEDIUM,Queue-4 thin-state target
OR,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,OHSU / Legacy / Providence,,MEDIUM,Queue-4 thin-state target
NM,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,U-NM / Presbyterian / Lovelace,,MEDIUM,Queue-4 thin-state target
NH,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,Dartmouth-Hitchcock,,MEDIUM,Queue-4 thin-state target
NE,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,Nebraska Medicine / CHI Health,,MEDIUM,Queue-4 thin-state target
ND,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,Sanford / Altru,,MEDIUM,Queue-4 thin-state target
ME,1,UNKNOWN,~23 in county-level QA queue,0,UNKNOWN,MaineHealth / Northern Light / Saint Mary's / UNECOM,County-level sweep done; no active runtime card,HIGH,Maine had its own county-level sweep
DC,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,GW / Georgetown / Howard / MedStar,Saint Elizabeths flagged residency-only,MEDIUM,Queue-4 thin-state target
CO,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,UCHealth / Denver Health / Children's,,MEDIUM,Queue-4 thin-state target
AR,1,UNKNOWN_LOW,UNKNOWN,0,UNKNOWN,UAMS / Baptist,,MEDIUM,Queue-4 thin-state target
AK,0,0,0,0,0,(none in high-yield set),All Anchorage/Fairbanks/Juneau systems missing,HIGH,**Queue-4 ZERO-COVERAGE state**
ID,0,0,0,0,0,(none in high-yield set),Boise/Saint Alphonsus/UI WAMI gap,HIGH,**Queue-4 ZERO-COVERAGE state**
MT,0,0,0,0,0,(none in high-yield set),Billings Clinic / Saint Vincent gap,HIGH,**Queue-4 ZERO-COVERAGE state**
WY,0,0,0,0,0,(none in high-yield set),Wyoming Medical Center / Cheyenne Regional gap,HIGH,**Queue-4 ZERO-COVERAGE state**
