source_row_id,institution_name,city,state,source_strength,audience_status,visa_status,application_status,cost_status,site_specificity_status,public_copy_risk,runtime_relevance,curator_status,curator_reason,required_before_bridge_input,required_before_runtime,recommended_next_action,notes
promo3-05-NY-nyp-weill-cornell,NewYork-Presbyterian Hospital - Weill Cornell Medical Center,New York,NY,STRONG_DIRECT,BROAD_IMG_CARIB_INTL_PER_T7,NOT_MENTIONED,WEILL_CORNELL_INTERNATIONAL_VISITING,NOT_MENTIONED,SITE_LEVEL_WEILL_CORNELL,HIGH,HIGH_AMC,NEEDS_EVIDENCE_HARDENING,Weill Cornell international page Class-A claim needs verification,Manual PNG + verbatim quote,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Tier-1 AMC,
promo3-14-AZ-mayo-clinic-hospital-phoenix,Mayo Clinic Hospital - Phoenix,Maricopa,AZ,STRONG_DIRECT,BROAD_IMG_CARIB_INTL_PER_T7,NOT_MENTIONED,MAYO_VISITING_MS_CLERKSHIPS,MAYO_PROVIDED_FREE,SITE_LEVEL_MAYO_PHOENIX,HIGH,HIGH_AMC,NEEDS_EVIDENCE_HARDENING,Same Mayo system page as Saint Marys; same caveat,Manual PNG + verbatim quote,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,,
promo3-19-FL-hca-florida-aventura-hospital,HCA Florida Aventura Hospital,Miami-Dade,FL,STRONG_DIRECT,BROAD_IMG_CARIB_INTL_PER_T7,NOT_MENTIONED,HCA_GME_LOCATION_PAGE,NOT_MENTIONED,SITE_LEVEL_HCA_AVENTURA,HIGH,HIGH_AMC,NEEDS_EVIDENCE_HARDENING,HCA GME location page claims broad-IMG; same source pattern as Methodist TX but different audience signal,Manual PNG + verbatim quote,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,HCA system shared HCA GME page,
promo3-01-CT-yale-new-haven-hospital,Yale New Haven Hospital,New Haven,CT,STRONG_DIRECT,NOT_MENTIONED_PARTIAL_CARIB,NOT_MENTIONED,YALE_MD_PROGRAM_VISITING,NOT_MENTIONED,SITE_LEVEL_YALE,MODERATE,HIGH_AMC,NEEDS_COPY_CARVEOUT,Class C: international/IMG NOT_MENTIONED + Caribbean PARTIAL — needs careful audience_detail encoding (UNKNOWN_NOT_STATED for non-LCME),Curator decision on whether to render PARTIAL Caribbean as ONLY_IF_AFFILIATED or UNKNOWN_NOT_STATED,Same,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1 OR a curator-decision sprint,
promo3-03-OH-cleveland-clinic-main-campus,Cleveland Clinic Main Campus,Cuyahoga,OH,STRONG_DIRECT,PARTIAL_INTL_CARIB_IMG_PER_T7,NOT_MENTIONED,CCF_ELECTIVE_PROGRAM,NOT_MENTIONED,SYSTEM_LEVEL_CCF,MODERATE,HIGH_AMC,NEEDS_COPY_CARVEOUT,Same source URL as active CCF Mercy + CC Hillcrest; CCF Main is system-level core,Curator carveout: should main-campus row coexist with site-specific siblings?,Same,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Active CCF rows cover same source
promo3-07-MD-johns-hopkins-hospital,Johns Hopkins Hospital,Baltimore_City,MD,STRONG_DIRECT,PARTIAL_INTL_CARIB_IMG,NOT_MENTIONED,HOPKINS_SOM_VISITING_MD,RESEARCH_FEE_USD_750_FALL_2026,SITE_LEVEL_HOPKINS,MODERATE,HIGH_AMC,NEEDS_COPY_CARVEOUT,Class C with $750 research fee — fee handling needs careful copy,Curator carveout for fee + PARTIAL audience,Same,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,
promo3-13-FL-mayo-clinic-hospital-jacksonville,Mayo Clinic Hospital - Jacksonville,Duval,FL,STRONG_DIRECT,PARTIAL_INTL_CARIB_IMG,NOT_MENTIONED,MAYO_VISITING_MS_CLERKSHIPS,MAYO_PROVIDED_FREE,SITE_LEVEL_MAYO_JACKSONVILLE,MODERATE,HIGH_AMC,NEEDS_COPY_CARVEOUT,Same Mayo system source — but audience matrix is PARTIAL not YES like Saint Marys + Phoenix,Mayo per-site mapping clarification,Same,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Inconsistency between Mayo sites' audience signals deserves curator note
promo3-15-DE-christianacare-christiana-hospital,ChristianaCare - Christiana Hospital,New_Castle,DE,MODERATE_DIRECT_WITH_CAVEATS,NOT_MENTIONED_INTL_CARIB_IMG,NOT_MENTIONED,CHRISTIANACARE_UME,NOT_MENTIONED,SITE_LEVEL_CHRISTIANA,MODERATE,MEDIUM_AMC,NEEDS_COPY_CARVEOUT,All audiences NOT_MENTIONED — must encode as UNKNOWN_NOT_STATED,Curator decision on display_bucket,Same,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,
promo3-16-NY-westchester-medical-center,Westchester Medical Center,Westchester,NY,MODERATE_DIRECT_WITH_CAVEATS,PARTIAL_INTL_CARIB_IMG,NOT_MENTIONED,NYMC_VISITING_MEDICAL_STUDENTS,NOT_MENTIONED,SITE_LEVEL_NYMC_WMC,MODERATE,MEDIUM_AMC,NEEDS_COPY_CARVEOUT,Class C PARTIAL audience,Curator carveout,Same,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,
promo3-20-NJ-saint-barnabas-medical-center,Saint Barnabas Medical Center,Essex,NJ,MODERATE_DIRECT_WITH_CAVEATS,PARTIAL_INTL_CARIB_IMG,NOT_MENTIONED,RWJBH_COOPERMAN_BARNABAS_MEDICAL_EDUCATION,NOT_MENTIONED,SITE_LEVEL_COOPERMAN_BARNABAS,MODERATE,MEDIUM_AMC,NEEDS_COPY_CARVEOUT,Class C PARTIAL audience; RWJBH system,Curator carveout,Same,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,
promo3-23-VA-carilion-clinic,Carilion Clinic,Roanoke,VA,STRONG_DIRECT,NOT_MENTIONED_INTL_CARIB_IMG,NOT_MENTIONED,CARILION_VISITING_MEDICAL_STUDENTS,NOT_MENTIONED,SITE_LEVEL_CARILION,LOW,HIGH_REGIONAL_AMC,NEEDS_COPY_CARVEOUT,Class C all NOT_MENTIONED,Curator decision,Same,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Tier-1A from Q2
promo3-24-GA-grady-memorial-hospital,Grady Memorial Hospital,Fulton,GA,STRONG_DIRECT,PARTIAL_INTL_CARIB_IMG,NOT_MENTIONED,EMORY_AT_GRADY_EDUCATION,NOT_MENTIONED,SYSTEM_LEVEL_EMORY_AT_GRADY,MODERATE,HIGH_PUBLIC_HOSPITAL,NEEDS_COPY_CARVEOUT,Public safety-net + Emory affiliate,Curator carveout,Same,P97-PROMOTION-BATCH-3-EVIDENCE-HARDENING-1,Tier-1A from Q2
promo3-18-NJ-newark-beth-israel-medical-center,Newark Beth Israel Medical Center,Essex,NJ,STRONG_DIRECT,IMG_POST_MATCH_RESIDENCY_CONTEXT,NOT_MENTIONED,RWJBH_NEWARK_BETH_ISRAEL_MEDICAL_EDUCATION,STIPEND_USD_1000_FOR_SELECTED,SYSTEM_LEVEL_RWJBH_PAGE,MODERATE,HIGH_RESIDENCY_LANE,DEFER_TO_FUTURE_LANE,Class D: post-match IMG context — residency-supporting source not visiting-MS pilot fit,Different lane (post-match residency support) — out of scope for visiting-MS pilot,Different lane needed before runtime,P97-RESIDENCY-SUPPORT-LANE-DESIGN-1 (does not yet exist),Wrong lane for current pilot; document as future
promo3-21-NY-bronxcare-health-system,BronxCare Health System,Bronx,NY,STRONG_DIRECT,IMG_POST_MATCH_J1_H1B,J1_H1B,BRONXCARE_FAMILY_MEDICINE_RESIDENCY_ELECTIVES,NOT_MENTIONED,SITE_LEVEL_BRONXCARE,HIGH,HIGH_RESIDENCY_LANE,DEFER_TO_FUTURE_LANE,Class D: post-match IMG with J-1/H-1B; residency electives not visiting-MS,Different lane,Different lane needed,P97-RESIDENCY-SUPPORT-LANE-DESIGN-1,Wrong lane; visa data is residency-context
promo3-22-NJ-englewood-health,Englewood Health,Bergen,NJ,STRONG_DIRECT,IMG_POST_MATCH_J1_H1B,J1_H1B,ENGLEWOOD_RESIDENCY_FELLOWSHIP,NOT_MENTIONED,SITE_LEVEL_ENGLEWOOD,HIGH,HIGH_RESIDENCY_LANE,DEFER_TO_FUTURE_LANE,Class D: residency/fellowship; same lane mismatch,Different lane,Different lane needed,P97-RESIDENCY-SUPPORT-LANE-DESIGN-1,Wrong lane
