schema_version,queue_id,scope_type,scope_value,rank,institution_id,canonical_name,state,county,city,official_domain,target_lanes,priority,why_included,status,assigned_run_id,locked_at,completed_at,next_action,notes,attempt_count,last_run_rating,next_recheck_after
p102-0r-1,p102_florida_state,BATCH_1,nemours-childrens-orlando,10,inst_nemours_childrens_orlando_fl,Nemours Children's Hospital Orlando,FL,Orange,Orlando,nemours.org,Nemours Children's Health,FL_P2_TEACHING_GME,multi-state-pediatric,Nemours.org serves Delaware Valley + FL pediatric — strong system-scope test for children's content,null,VISITING_MEDICAL_STUDENT|IMG_OBSERVERSHIP,NOT_STARTED,,,,fetch_a0_probe,Florida Batch 1 — pediatric multi-state system
p102-0r-1,p102_gold_deep_benchmark,INSTITUTION,cleveland-clinic-florida,1,inst_cleveland_clinic_florida,Cleveland Clinic Florida,FL,Broward,Weston,my.clevelandclinic.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT|INTERNATIONAL_MEDICAL_STUDENT,HIGH,Gold 1: clear international medical student program test,NOT_STARTED,,,,fetch_a0_probe,P102-GOLD deep benchmark,0,,
p102-0r-1,p102_gold_deep_benchmark,INSTITUTION,vanderbilt-vumc,2,inst_vanderbilt_vumc,Vanderbilt University Medical Center,TN,Davidson,Nashville,vumc.org,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HIGH,Gold 2: clear US MD/DO VSLO-only test,NOT_STARTED,,,,fetch_a0_probe,P102-GOLD deep benchmark,0,,
p102-0r-1,p102_gold_deep_benchmark,INSTITUTION,mayo-clinic-rochester,4,inst_mayo_clinic_rochester_mn,Mayo Clinic,MN,Olmsted,Rochester,mayoclinic.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,HIGH,Gold 4: no public lane with explicit negative quote test,NOT_STARTED,,,,fetch_a0_probe,P102-GOLD deep benchmark,0,,
p102-0r-1,p102_gold_deep_benchmark,INSTITUTION,brigham-and-womens-hospital,7,inst_brigham_and_womens_hospital_ma,Brigham and Women's Hospital,MA,Suffolk,Boston,brighamandwomens.org,VISITING_MEDICAL_STUDENT|IMG_OBSERVERSHIP,HIGH,Gold 7: medical-school-level source ambiguity test (BWH + HMS),NOT_STARTED,,,,fetch_a0_probe,P102-GOLD deep benchmark,0,,
p102-0r-1,p102_gold_deep_benchmark,INSTITUTION,northwell-staten-island-univ-hospital,9,inst_northwell_staten_island_uh_ny,Northwell Staten Island University Hospital,NY,Richmond,Staten Island,northwell.edu,CAREERS_PAGE|H1B_SPONSORSHIP_SIGNAL|J1_WAIVER_SIGNAL,MEDIUM,Gold 9: jobs/visa-rich test (high futureLaneValue expected),NOT_STARTED,,,,fetch_a0_probe,P102-GOLD deep benchmark,0,,
p102-0r-1,p102_gold_deep_benchmark,INSTITUTION,boston-medical-center,10,inst_boston_medical_center_ma,Boston Medical Center,MA,Suffolk,Boston,bmc.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HIGH,Gold 10: PDF-heavy test (exercises PDF cascade),NOT_STARTED,,,,fetch_a0_probe,P102-GOLD deep benchmark,0,,
p102-0r-1,p102_gold_deep_benchmark,INSTITUTION,michigan-medicine,11,inst_michigan_medicine_mi,Michigan Medicine,MI,Washtenaw,Ann Arbor,uofmhealth.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,HIGH,Gold 11: bot-block / timeout test (P101-1 bot-blocked),NOT_STARTED,,,,fetch_a0_probe,P102-GOLD deep benchmark,0,,
p102-0r-1,p102_gold_set,INSTITUTION,houston-methodist-hospital,3,inst_houston_methodist_hospital_tx,Houston Methodist Hospital,TX,Harris,Houston,houstonmethodist.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,HIGH,Gold 3: clear IMG observership test (P102 Trial 2 found stale /observership redirect; gold-set re-tests with expanded paths),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Already in Trial 2; gold-set entry to verify recovery,0,,
p102-0r-1,p102_gold_set,INSTITUTION,adventhealth-orlando,6,inst_adventhealth_orlando_fl,AdventHealth Orlando,FL,Orange,Orlando,adventhealth.com,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT|RESIDENCY_PROGRAM_INFO,MEDIUM,Gold 6: parent system ambiguity test (already in Trial 2),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Already in Trial 2; gold-set entry to verify regression,0,,
p102-0r-1,p102_gold_set,INSTITUTION,brooklyn-hospital-center,8,inst_brooklyn_hospital_center_ny,The Brooklyn Hospital Center,NY,Kings,Brooklyn,tbh.org,IMG_OBSERVERSHIP|RESIDENCY_PROGRAM_INFO,MEDIUM,Gold 8: GME-rich but no USCE test (already in Trial 2),DO_NOT_RUN_UNTIL_P102_0D,,,,await_p102_0d,Already in Trial 2; gold-set entry to verify regression,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,uab-imed-international-visiting-students,1,inst_uab_hospital_al_v2,UAB Hospital,AL,Jefferson,Birmingham,uab.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,HY_P0_KNOWN_PUBLIC_SAFE,P101 + p102-pc-7-uab (29 PUBLIC_SAFE_USCE) re-run,NOT_STARTED,,,,fetch_a0_probe,Re-run UAB on extended FIXED_PATHS,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-miami,2,inst_medschool_miami_fl,University of Miami Miller School of Medicine,FL,Miami-Dade,Miami,med.miami.edu,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,HY_P1_STRONG_USCE_HINT,P101 evidence: med.miami.edu/offices/faculty-affairs/services/observerships + /medical-education/student-affairs/registrar/externships-services,NOT_STARTED,,,,fetch_a0_probe,Direct medical-school domain,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,health-usf-medicine,3,inst_usf_morsani_fl,USF Morsani College of Medicine,FL,Hillsborough,Tampa,health.usf.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P2_MEDICAL_SCHOOL_ELECTIVES,Hosts visiting medical student program for TGH; URL pattern likely /medicine/education/visiting-students,NOT_STARTED,,,,fetch_a0_probe,USF medical school for Tampa General academic content,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,med-ufl-college-medicine,4,inst_uf_college_of_medicine_fl,UF College of Medicine,FL,Alachua,Gainesville,med.ufl.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P2_MEDICAL_SCHOOL_ELECTIVES,UF COM hosts visiting student program at /students/visiting-students,NOT_STARTED,,,,fetch_a0_probe,UF medical school for Shands academic content,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,medicine-fiu-wertheim,5,inst_fiu_wertheim_fl,FIU Herbert Wertheim College of Medicine,FL,Miami-Dade,Miami,medicine.fiu.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P2_MEDICAL_SCHOOL_ELECTIVES,Wertheim teaches at Mount Sinai Miami Beach + Baptist; visiting-student URL likely /education/medical-education,NOT_STARTED,,,,fetch_a0_probe,Wertheim medical school for Mount Sinai Miami academic content,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,med-fsu-college-medicine,6,inst_fsu_college_of_medicine_fl,FSU College of Medicine,FL,Leon,Tallahassee,med.fsu.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P3_OBSERVERSHIP_HINT,FSU COM has rural-distributed model; visiting-student program may exist at /education or /students,NOT_STARTED,,,,fetch_a0_probe,Florida medical school,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-ucsf-current-students,7,inst_ucsf_school_of_medicine_ca,UCSF School of Medicine,CA,San Francisco,San Francisco,meded.ucsf.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P1_STRONG_USCE_HINT,P101 TIER_B: meded.ucsf.edu/current-students/visiting-student-program/visiting-student-program-overview (VSLO US-only),NOT_STARTED,,,,fetch_a0_probe,UCSF VSLO program direct,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-ucla-md-program,8,inst_ucla_school_of_medicine_ca,David Geffen School of Medicine at UCLA,CA,Los Angeles,Los Angeles,medschool.ucla.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P1_STRONG_USCE_HINT,P101 TIER_B: medschool.ucla.edu/education/md-education/visiting-students/vslo (VSLO),NOT_STARTED,,,,fetch_a0_probe,UCLA Geffen VSLO direct,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-stanford-international,9,inst_stanford_med_school_ca,Stanford School of Medicine,CA,Santa Clara,Stanford,med.stanford.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,HY_P1_STRONG_USCE_HINT,P101 TIER_B: med.stanford.edu/visiting-clerkships/international.html (IVS Program),NOT_STARTED,,,,fetch_a0_probe,Stanford IVS — note positive-control p102-pc-8-stanford had robots.txt block,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-keck-usc,10,inst_keck_school_of_medicine_usc_ca,Keck School of Medicine at USC,CA,Los Angeles,Los Angeles,keck.usc.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P1_STRONG_USCE_HINT,P101 TIER_B: keck.usc.edu/md-program/visiting-student-clerkships (VSLO),NOT_STARTED,,,,fetch_a0_probe,Keck USC VSLO,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-uams-visiting-students,11,inst_uams_college_of_medicine_ar,UAMS College of Medicine,AR,Pulaski,Little Rock,medicine.uams.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P1_STRONG_USCE_HINT,P101 TIER_B: medicine.uams.edu/students/visiting-students/ (VSLO US-only),NOT_STARTED,,,,fetch_a0_probe,UAMS VSLO,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-emory-visiting,12,inst_emory_school_of_medicine_ga,Emory University School of Medicine,GA,DeKalb,Atlanta,med.emory.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT|RESEARCH_OPPORTUNITY,HY_P0_KNOWN_PUBLIC_SAFE,P101 + p102-pc-10-emory: med.emory.edu/education/admissions/visiting/index.html + /research/training/index.html (4 PUBLIC_SAFE),NOT_STARTED,,,,fetch_a0_probe,Re-run Emory medical-school subdomain,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,medschool-howard-derm,13,inst_howard_university_college_of_medicine_dc,Howard University College of Medicine,DC,District of Columbia,Washington,medicine.howard.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P3_OBSERVERSHIP_HINT,P101 TIER_B: medicine.howard.edu/education/graduate-medical-education-gme/residency/dermatology/visiting-student-rotation,NOT_STARTED,,,,fetch_a0_probe,Howard SOM Dermatology rotation,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,gw-smhs-visiting-students,14,inst_gw_school_of_medicine_dc,GW School of Medicine and Health Sciences,DC,District of Columbia,Washington,smhs.gwu.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P1_STRONG_USCE_HINT,P101 TIER_B: smhs.gwu.edu/academics/md-program/visiting-students (VSLO),NOT_STARTED,,,,fetch_a0_probe,GW SOM VSLO,0,,
p102-0r-1,p102_high_yield_usce,BATCH_1,georgetown-meded,15,inst_georgetown_school_of_medicine_dc,Georgetown University School of Medicine,DC,District of Columbia,Washington,meded.georgetown.edu,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HY_P0_KNOWN_PUBLIC_SAFE,P101 TIER_A: meded.georgetown.edu/medicaleducation/visiting-students-program/ (VSLO US-only),NOT_STARTED,,,,fetch_a0_probe,Georgetown medical school VSLO,0,,
p102-0r-1,p102_positive_control_usce,INSTITUTION,memorial-sloan-kettering-cancer-center,1,inst_memorial_sloan_kettering_cancer_center_ny,Memorial Sloan Kettering Cancer Center,NY,New York,New York,mskcc.org,IMG_OBSERVERSHIP|INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,HIGH,P101-1 TIER_A_PUBLIC_SAFE x 2 URLs: /hcp-education-training/medical-students/elective (INTERNATIONAL_STUDENT_CONFIRMED) + /medical-student-observerships (IMG_GRAD_OBSERVERSHIP_CONFIRMED) both on mskcc.org INSTITUTION_SPECIFIC,NOT_STARTED,,,,fetch_a0_probe,Positive control: should produce PUBLIC_SAFE_USCE,0,,
p102-0r-1,p102_positive_control_usce,INSTITUTION,orlando-health-orlando-regional-medical-center,2,inst_orlando_health_orlando_regional_medical_center_fl,Orlando Health Orlando Regional Medical Center,FL,Orange,Orlando,orlandohealth.com,INTERNATIONAL_MEDICAL_STUDENT|CLINICAL_ELECTIVE|VISITING_MEDICAL_STUDENT,HIGH,P101-1 TIER_A_PUBLIC_SAFE: /medical-professionals/graduate-medical-education/clerkship-programs INSTITUTION_SPECIFIC INTERNATIONAL_STUDENT_CONFIRMED,NOT_STARTED,,,,fetch_a0_probe,Positive control: should produce PUBLIC_SAFE_USCE,0,,
p102-0r-1,p102_positive_control_usce,INSTITUTION,univ-miami-uhealth-miller-som,3,inst_univ_miami_uhealth_miller_som_fl,University of Miami Miller SOM UHealth,FL,Miami-Dade,Miami,med.miami.edu,IMG_OBSERVERSHIP|INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,HIGH,P101-1 TIER_A_PUBLIC_SAFE x 2: /offices/faculty-affairs/services/observerships (IMG INTERNATIONAL_STUDENT_CONFIRMED) + /medical-education/student-affairs/registrar/externships-services (VSLO),NOT_STARTED,,,,fetch_a0_probe,Positive control: should produce PUBLIC_SAFE_USCE,0,,
p102-0r-1,p102_positive_control_usce,INSTITUTION,memorial-healthcare-system-hollywood,4,inst_memorial_regional_hollywood_fl,Memorial Healthcare System - Memorial Regional Hollywood,FL,Broward,Hollywood,mhs.net,VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,HIGH,P101-1 TIER_A_PUBLIC_SAFE: /education/undergraduate-medical-education/requirements-for-visiting-students INSTITUTION_SPECIFIC VSLO_US_MD_DO_ONLY,NOT_STARTED,,,,fetch_a0_probe,Positive control: VSLO US-only positive (test domestic visiting student path),0,,
p102-0r-1,p102_positive_control_usce,INSTITUTION,hospital-for-special-surgery,5,inst_hospital_for_special_surgery_ny,Hospital for Special Surgery,NY,New York,New York,hss.edu,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT,HIGH,P101-1 TIER_B_CAUTION_SAFE: /education-institute/academic-visitor-program INSTITUTION_SPECIFIC IMG_GRAD_OBSERVERSHIP_CONFIRMED,NOT_STARTED,,,,fetch_a0_probe,Positive control: should produce PUBLIC_SAFE_USCE or CAUTION_SAFE,0,,
p102-0r-1,p102_positive_control_usce,INSTITUTION,houston-methodist-hospital-deep,6,inst_houston_methodist_hospital_tx_deep,Houston Methodist Hospital,TX,Harris,Houston,houstonmethodist.org,IMG_OBSERVERSHIP|VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,MEDIUM,P101 TIER_B_CAUTION_SAFE: /academic-institute/education/medical/medical-student-rotations/ INSTITUTION_SPECIFIC IMG_GRAD_OBSERVERSHIP_CONFIRMED — re-test under deep mode (gold-test used the legacy /observership path which was a pharmacy externship redirect),NOT_STARTED,,,,fetch_a0_probe,Positive control: should reveal real /medical-student-rotations,0,,
p102-0r-1,p102_positive_control_usce,INSTITUTION,uab-hospital,7,inst_uab_hospital_al,UAB Hospital,AL,Jefferson,Birmingham,uab.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,MEDIUM,P101-0 TIER_B_CAUTION_SAFE: /medicine/international/international-programs/international-visiting-medical-students INSTITUTION_SPECIFIC INTERNATIONAL_STUDENT_CONFIRMED ($350 app fee $5200/4wk explicit; B-1/B-2 visa explicit),NOT_STARTED,,,,fetch_a0_probe,Positive control: clear international visiting MS program,0,,
p102-0r-1,p102_positive_control_usce,INSTITUTION,stanford-health-care,8,inst_stanford_health_care_ca,Stanford Health Care,CA,Santa Clara,Stanford,med.stanford.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,MEDIUM,P101-1 TIER_B_CAUTION_SAFE: /visiting-clerkships/international.html INSTITUTION_SPECIFIC INTERNATIONAL_STUDENT_CONFIRMED ($3100/2wk $6200/4wk explicit; SlideRoom application),NOT_STARTED,,,,fetch_a0_probe,Positive control: clear IVS Program,0,,
p102-0r-1,p102_positive_control_usce,INSTITUTION,ucsf-fresno,9,inst_ucsf_fresno_ca,UCSF Fresno,CA,Fresno,Fresno,fresno.ucsf.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT,MEDIUM,P101-1 TIER_C_NEEDS_REVIEW: /medical-student-programs/international-non-lcme-visiting-students INSTITUTION_SPECIFIC INTERNATIONAL_STUDENT_CONFIRMED ($1040/4wk explicit; non-LCME route),NOT_STARTED,,,,fetch_a0_probe,Positive control: edge-case Tier_C (regional UCSF affiliate),0,,
p102-0r-1,p102_positive_control_usce,INSTITUTION,emory-university-hospital,10,inst_emory_university_hospital_ga,Emory University Hospital,GA,DeKalb,Atlanta,med.emory.edu,INTERNATIONAL_MEDICAL_STUDENT|VISITING_MEDICAL_STUDENT|CLINICAL_ELECTIVE,MEDIUM,P101 TIER_B_CAUTION_SAFE: /education/admissions/visiting/index.html SCHOOL_LEVEL_SOURCE INTERNATIONAL_STUDENT_CONFIRMED,NOT_STARTED,,,,fetch_a0_probe,Positive control: tests SCHOOL_LEVEL_SOURCE positive (med.emory.edu),0,,
