source_id,source_name,source_family,source_url,raw_storage_allowed,internal_analysis_allowed,public_raw_display_allowed,public_derived_display_allowed,commercial_license_needed,attribution_required,external_review_required_before_publication,automation_allowed,terms_last_reviewed_at,caveats,product_rule
aamc_ror,AAMC Report on Residents (ROR) 2020-2025,AAMC,https://www.aamc.org/data-reports/students-residents/report/report-residents,true,true,false,true,true,true,false,false,2026-05-03,"AAMC personal/educational use terms. Commercial use requires data use agreement: datarequest@aamc.org. HARD RULE: raw tables NEVER published. Reproduced table layouts are AAMC IP. Only derived/computed statistics (e.g., 'X% of IM residents are IMGs, Source: AAMC ROR 2025') may appear in product.",Derived statistics only. Attribution required: 'Source: AAMC Report on Residents [year]'. Contact datarequest@aamc.org before any commercial deployment.
aamc_eras_stats,AAMC ERAS Participating Programs Statistics 2026,AAMC,https://systems.aamc.org/eras/erasstats,true,true,false,true,true,true,false,true,2026-05-03,"Public ERAS participation statistics. No authentication required. ACGME program IDs sourced from here (NOT from FREIDA/ADS). Commercial use requires AAMC data use agreement. HARD RULE: raw tables never published.",Derived program counts and specialty distributions only. Attribution: 'Source: AAMC ERAS 2026 cycle'. Commercial: datarequest@aamc.org.
aamc_facts,AAMC FACTS,AAMC,https://www.aamc.org/data-reports/students-residents/data/aamc-data-and-reports-archive,true,true,false,true,true,true,false,false,2026-05-03,AAMC personal/educational use. Commercial DUA required. Aggregate medical education statistics.,Derived statistics only with attribution. Commercial: datarequest@aamc.org.
aamc_workforce,AAMC Workforce Studies,AAMC,https://www.aamc.org/data-reports/workforce,true,true,false,true,true,true,false,false,2026-05-03,AAMC personal/educational use. Commercial DUA required. Physician workforce projections and trends.,Derived statistics only with attribution. Commercial: datarequest@aamc.org.
acgme_drb,ACGME Data Resource Book (DRB) AY2024-2025,ACGME,https://www.acgme.org/what-we-do/accreditation/data-resource-books/,true,true,false,true,false,true,true,false,2026-05-03,"ACGME DRB copyright notice states: 'No part of this publication may be reproduced or distributed without prior written approval.' This is STRICTER than the general ACGME footer which permits noncommercial reproduction. HARD RULE: any derived public display using DRB data requires ACGME written approval first. Do not publish DRB-derived statistics without review.",BLOCKED for public display until ACGME written approval obtained. Contact ACGME before any product use of DRB-derived statistics.
acgme_specialty_updates,ACGME Specialty Updates Apr 2025,ACGME,https://www.acgme.org/what-we-do/accreditation/specialty-updates/,true,true,false,true,false,true,false,false,2026-05-03,"ACGME footer: 'Reproduction and distribution with attribution for educational, noncommercial purposes is permitted.' Commercial use requires ACGME approval.",Noncommercial derived statistics with attribution permitted. Commercial: seek ACGME approval.
acgme_annual_report,ACGME Annual Report,ACGME,https://www.acgme.org/what-we-do/accreditation/,true,true,false,true,false,true,false,false,2026-05-03,Same as specialty updates. Noncommercial derived with attribution.,Derived statistics with ACGME attribution for noncommercial. Commercial: seek approval.
nrmp_main_match,NRMP Main Match Results 2022-2026,NRMP,https://www.nrmp.org/match-data-analytics/residency-data/,true,true,false,true,false,true,true,false,2026-05-03,"NRMP terms: 'May be reprinted for noncommercial purposes with attribution.' HARD RULE: any NRMP-derived content for public display requires NRMP publication review before going live. Contact publicaffairs@nrmp.org.",BLOCKED for public display until NRMP publication review completed. Required before launch of any NRMP-derived public pages.
nrmp_charting,NRMP Charting Outcomes IMG 2024,NRMP,https://www.nrmp.org/match-data-analytics/residency-data/,true,true,false,true,false,true,true,false,2026-05-03,Same NRMP terms. Contains IMG match probability statistics — high product value.,BLOCKED for public display until NRMP publication review. Contact publicaffairs@nrmp.org.
nrmp_pd_survey,NRMP PD Survey 2024,NRMP,https://www.nrmp.org/match-data-analytics/residency-data/,true,true,false,true,false,true,true,false,2026-05-03,Same NRMP terms. PD weighting factors — high product value.,BLOCKED for public display until NRMP publication review.
nrmp_sms,NRMP SMS Fellowship Match,NRMP,https://www.nrmp.org/match-data-analytics/fellowship-data/,true,true,false,true,false,true,true,false,2026-05-03,Same NRMP terms.,BLOCKED for public display until NRMP publication review.
ecfmg_annual,ECFMG Annual Report,ECFMG/Intealth,https://www.ecfmg.org/forms/ecfmgannualreport.pdf,true,true,false,true,false,true,false,false,2026-05-03,Published for public transparency. J-1 sponsorship statistics. IMG certification aggregate data.,Derived IMG certification and J-1 statistics with attribution permitted.
intealth_faimer,Intealth/FAIMER World Medical Schools,Intealth/FAIMER,https://www.faimer.org/resources/imed.html,true,true,false,true,false,true,false,false,2026-05-03,Public transparency data. Medical school recognition status by country.,Derived school recognition status with attribution.
nucc_taxonomy,NUCC Health Care Provider Taxonomy Code Set,NUCC,https://www.nucc.org/index.php/code-sets-mainmenu-41/provider-taxonomy-mainmenu-40,true,true,false,false,true,true,false,false,2026-05-03,"NUCC taxonomy code set and definitions require a commercial license before incorporation into a commercial product. HARD RULE: taxonomy code values (numeric identifiers) embedded in NPPES are public, but the definitions/descriptions of those codes require NUCC license. Do NOT display taxonomy descriptions in any product without licensing.",BLOCKED: taxonomy code definitions/descriptions require NUCC commercial license. Contact NUCC before displaying specialty taxonomy descriptions. Numeric codes only may be used internally.
abfm_pass_rates,ABFM Board Exam Pass Rates,ABFM,https://www.theabfm.org/about/statistics,true,true,false,true,false,true,false,false,2026-05-03,Public statistics pages. Noncommercial with attribution standard.,Derived pass rate statistics with ABFM attribution.
abem_pass_rates,ABEM Board Exam Pass Rates,ABEM,https://www.abem.org/public/about-abem/statistics-and-data,true,true,false,true,false,true,false,false,2026-05-03,Public statistics. Noncommercial with attribution.,Derived statistics with ABEM attribution.
abp_pass_rates,ABP Board Exam Pass Rates,ABP,https://www.abp.org/content/certificationdata,true,true,false,true,false,true,false,false,2026-05-03,Public statistics. Noncommercial with attribution.,Derived statistics with ABP attribution.
abpn_pass_rates,ABPN Board Exam Pass Rates,ABPN,https://www.abpn.com/become-certified/examinations/,true,true,false,true,false,true,false,false,2026-05-03,Public statistics. Noncommercial with attribution.,Derived statistics with ABPN attribution.
abs_pass_rates,ABS Board Exam Pass Rates,ABS,https://www.absurgery.org/default.jsp?news_examstats,true,true,false,true,false,true,false,false,2026-05-03,Public statistics. Noncommercial with attribution.,Derived statistics with ABS attribution.
abim_pass_rates,ABIM Board Exam Pass Rates,ABIM,https://www.abim.org/about/statistics-data/,true,true,false,true,false,true,false,false,2026-05-03,"7 PDFs from abim.org. Incapsula WAF blocked automated tools but not browser access. Public transparency statistics. Noncommercial/attribution standard. HARD RULE: raw tables never reproduced.",Derived pass rate statistics with ABIM attribution.
opm_fedscope,OPM FedScope Federal Employee Data,OPM,https://www.fedscope.opm.gov/,true,true,false,true,false,false,false,true,2026-05-03,Federal public domain. VA and military salary/workforce aggregates. No individual employee records.,Derived VA workforce size and compensation aggregates.
