session_rank,queue_4_rank,institution_name,city,state,candidate_type,why_first_session,source_lead,expected_artifacts,stop_condition,notes
11,32,UCLA Ronald Reagan Medical Center,Los Angeles,CA,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — top tier-1 AMC,medschool.ucla.edu/visiting-students,HTML+screenshot+Wayback+verbatim quote,Same,Geffen SOM operates the lane
12,35,Stanford Health Care,Stanford,CA,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — top tier-1 AMC,med.stanford.edu/md/student-affairs/visiting-student-program,HTML+screenshot+Wayback+verbatim quote,Same,Stanford SOM operates the lane
13,37,Vanderbilt University Medical Center,Nashville,TN,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — TN diversity,medschool.vanderbilt.edu/student-affairs/visiting-students,HTML+screenshot+Wayback+verbatim quote,Same,
14,38,Barnes-Jewish Hospital / Washington University,Saint Louis,MO,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — MO diversity; WashU SOM,medicine.wustl.edu/visiting-students,HTML+screenshot+Wayback+verbatim quote,Same,WashU SOM lane
15,40,Michigan Medicine - University Hospital,Ann Arbor,MI,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — MI diversity; U-Michigan SOM,medicine.umich.edu/medschool/education/visiting-students,HTML+screenshot+Wayback+verbatim quote,Same,
16,49,Brigham and Womens Hospital,Boston,MA,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — HMS affiliate,hms.harvard.edu/students/visiting-students,HTML+screenshot+Wayback+verbatim quote,If audience excludes IMG stop with US-only audience,HMS affiliate
17,50,Massachusetts General Hospital,Boston,MA,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — HMS affiliate,hms.harvard.edu/students/visiting-students,HTML+screenshot+Wayback+verbatim quote,Same,Same HMS lane as BWH (likely shared SOURCE)
18,72,Memorial Sloan Kettering Cancer Center,New York,NY,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — MSK has explicit visiting-student program,mskcc.org/education/medical-students/visiting,HTML+screenshot+Wayback+verbatim quote,Specialty-specific (oncology) — note in card metadata,Specialty card not generic AMC
19,77,University of Florida Health Shands Hospital,Gainesville,FL,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — FL AMC; UF SOM,med.ufl.edu/registrar/visiting-medical-students,HTML+screenshot+Wayback+verbatim quote,Same,
20,84,Houston Methodist Hospital,Houston,TX,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — TX AMC; Weill Cornell + multiple SOM affiliates,houstonmethodist.org/medical-students,HTML+screenshot+Wayback+verbatim quote,Same,System-level vs site-level scope to verify
21,87,UT Southwestern University Hospital - Clements Hospital,Dallas,TX,ACADEMIC_MEDICAL_CENTER,P0 AMC gap — TX diversity; UTSW SOM,utsouthwestern.edu/education/medical-school/visiting-students,HTML+screenshot+Wayback+verbatim quote,Same,
22,43,Bellevue Hospital - NYC H+H,New York,NY,PUBLIC_HOSPITAL_SYSTEM,P0 public safety-net — IMG-relevant likely; NYU SOM rotation site,nychealthandhospitals.org/bellevue/medical-students-electives,HTML+screenshot+Wayback+quote OR per-site source verification,Site-level placement may be unclear from system page,IMG-relevant signal high
23,44,LAC+USC Medical Center,Los Angeles,CA,PUBLIC_HOSPITAL_SYSTEM,P0 public safety-net — Keck USC + Charles Drew affiliate,keck.usc.edu/education/visiting-students,HTML+screenshot+Wayback+verbatim quote,If only US LCME/AOA stop with US-only audience,
24,46,Parkland Health,Dallas,TX,PUBLIC_HOSPITAL_SYSTEM,P0 public safety-net — UT Southwestern rotation site,parklandhospital.com OR utsouthwestern.edu visiting-students,HTML+screenshot+Wayback+verbatim quote,Site-level placement may be unclear from system page,
25,47,Harborview Medical Center,Seattle,WA,PUBLIC_HOSPITAL_SYSTEM,P0 public safety-net — UW SOM affiliate,uwmedicine.org/education/visiting-students,HTML+screenshot+Wayback+verbatim quote,If WA UW lane stop at audience clarity,UW Med adds WA state coverage
